Designator,Comment,Layer,Footprint,Mid X,Mid Y,Rotation,Description
P3,Header 6,Top,HDR1X6,34.29,6.0198,360,"Header, 6-Pin"
U3,L7805CV,Top,TO255P1040X460X1968-3,43.307,17.4538,270,Linear Voltage Regulator IC Positive Fixed 1 Output 1.5A TO-220
U2,L7809CV,Top,TO255P1040X460X1968-3,5.9121,17.4538,270,Linear Voltage Regulator IC Positive Fixed 1 Output 1.5A TO-220
U1,ATTINY85-20PU,Top,DIP762W46P254L927H533Q8B,25.042,17.0628,90,"AVR AVR® ATtiny, Functional Safety (FuSa) Microcontroller IC 8-Bit 20MHz 8KB (4K x 16) FLASH 8-PDIP"
R1,Res1,Top,AXIAL-0.3,34.5589,29.3553,360,Resistor
P2,HC-05 Bluetooth module,Top,HDR1X6,13.231,6.0198,360,"Header, 6-Pin"
P1,MQ135,Top,HDR1X4,59.921,28.4928,360,"Header, 4-Pin"
K1,9V RELAY,Top,JQC3FT731Z12VDC,55.299,15.4498,270,RELAY POWER 10A 12VDC 1C PCB TYPE (JS1) 5PIN QIANJ
J2,12V Battery,Top,HANDSON_KF301-2P,8.492,32.5568,180,2 Pin Terminal Block 5mm Pitch
J1,9V Battery,Top,HANDSON_KF301-2P,20.6911,32.0568,360,2 Pin Terminal Block 5mm Pitch
D3,Diode 1N4007,Top,DO-41,66.571,14.4498,90,1 Amp General Purpose Rectifier
D2,Diode 1N4007,Top,DO-41,70.358,14.4498,90,1 Amp General Purpose Rectifier
D1,LED1,Top,LED-1,37.107,33.8568,180,Typical RED GaAs LED
C4,2200uf 16V,Top,CAPR5-4X5,34.567,13.8878,360,Capacitor
C3,100uf 25V,Top,CAPR5-4X5,34.567,19.9838,360,Capacitor
C2,0.1uF,Top,CAPR5-4X5,13.278,13.8878,360,Capacitor
C1,0.33uF,Top,CAPR5-4X5,13.278,19.9838,360,Capacitor
